locationid,measure,year,adj_prevalence,crude_prevalence,stateabbr,statedesc,locationname,totalpopulation,totalpop18plus,latitude,longitude,measureid,category,categoryid,short_question_text
01001,All teeth lost among adults aged >=65 years,2022,12.0,11.3,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,TEETHLOST,Health Outcomes,HLTHOUT,All Teeth Lost
01001,Any disability among adults,2023,32.4,33.8,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,DISABILITY,Disability,DISABLT,Any Disability
01001,Arthritis among adults,2023,26.3,30.0,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,ARTHRITIS,Health Outcomes,HLTHOUT,Arthritis
01001,Binge drinking among adults,2023,15.6,14.3,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,BINGE,Health Risk Behaviors,RISKBEH,Binge Drinking
01001,Cancer (non-skin) or melanoma among adults,2023,7.0,8.3,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,CANCER,Health Outcomes,HLTHOUT,Cancer (non-skin) or Melanoma
01001,Cholesterol screening among adults,2023,85.0,86.8,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,CHOLSCREEN,Prevention,PREVENT,Cholesterol Screening
01001,Chronic obstructive pulmonary disease among adults,2023,6.4,7.4,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,COPD,Health Outcomes,HLTHOUT,COPD
01001,Cognitive disability among adults,2023,15.9,15.3,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,COGNITION,Disability,DISABLT,Cognitive Disability
01001,Colorectal cancer screening among adults aged 45–75 years,2022,64.6,68.2,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,COLON_SCREEN,Prevention,PREVENT,Colorectal Cancer Screening
01001,Coronary heart disease among adults,2023,5.6,6.7,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,CHD,Health Outcomes,HLTHOUT,Coronary Heart Disease
01001,Current asthma among adults,2023,10.0,10.0,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,CASTHMA,Health Outcomes,HLTHOUT,Current Asthma
01001,Current cigarette smoking among adults,2023,14.5,14.5,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,CSMOKING,Health Risk Behaviors,RISKBEH,Current Cigarette Smoking
01001,Current lack of health insurance among adults aged 18-64 years,2023,9.1,8.8,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,ACCESS2,Prevention,PREVENT,Health Insurance
01001,Depression among adults,2023,25.9,25.1,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,DEPRESSION,Health Outcomes,HLTHOUT,Depression
01001,Diagnosed diabetes among adults,2023,11.4,13.3,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,DIABETES,Health Outcomes,HLTHOUT,Diabetes
01001,Fair or poor self-rated health status among adults,2023,20.0,21.0,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,GHLTH,Health Status,HLTHSTAT,General Health
01001,Food insecurity in the past 12 months among adults,2023,17.0,16.5,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,FOODINSECU,Health-Related Social Needs,SOCLNEED,Food Insecurity
01001,Frequent mental distress among adults,2023,18.0,17.0,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,MHLTH,Health Status,HLTHSTAT,Frequent Mental Distress
01001,Frequent physical distress among adults,2023,12.8,13.7,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,PHLTH,Health Status,HLTHSTAT,Frequent Physical Distress
01001,Hearing disability among adults,2023,6.9,7.9,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,HEARING,Disability,DISABLT,Hearing Disability
01001,High blood pressure among adults,2023,38.2,42.0,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,BPHIGH,Health Outcomes,HLTHOUT,High Blood Pressure
01001,High cholesterol among adults who have ever been screened,2023,36.3,41.3,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,HIGHCHOL,Health Outcomes,HLTHOUT,High Cholesterol
01001,Housing insecurity in the past 12 months among adults,2023,13.2,12.4,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,HOUSINSECU,Health-Related Social Needs,SOCLNEED,Housing Insecurity
01001,Independent living disability among adults,2023,8.7,8.8,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,INDEPLIVE,Disability,DISABLT,Independent Living Disability
01001,Lack of reliable transportation in the past 12 months among adults,2023,8.9,8.5,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,LACKTRPT,Health-Related Social Needs,SOCLNEED,Transportation Barriers
01001,Lack of social and emotional support among adults,2023,24.3,23.7,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,EMOTIONSPT,Health-Related Social Needs,SOCLNEED,Lack of Social/Emotional Support
01001,Loneliness among adults,2023,33.7,32.6,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,LONELINESS,Health-Related Social Needs,SOCLNEED,Loneliness
01001,Mammography use among women aged 50-74 years,2022,80.7,80.9,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,MAMMOUSE,Prevention,PREVENT,Mammography
01001,Mobility disability among adults,2023,13.4,15.4,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,MOBILITY,Disability,DISABLT,Mobility Disability
01001,No leisure-time physical activity among adults,2023,26.0,27.0,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,LPA,Health Risk Behaviors,RISKBEH,Physical Inactivity
01001,Obesity among adults,2023,39.5,39.8,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,OBESITY,Health Outcomes,HLTHOUT,Obesity
01001,Received food stamps in the past 12 months among adults,2023,11.6,11.3,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,FOODSTAMP,Health-Related Social Needs,SOCLNEED,Food Stamps
01001,Self-care disability among adults,2023,3.6,4.0,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,SELFCARE,Disability,DISABLT,Self-care Disability
01001,Short sleep duration among adults,2022,37.7,37.3,AL,Alabama,Autauga,60342,46253,32.5350016195151,-86.6428164158396,SLEEP,Health Risk Behaviors,RISKBEH,Short Sleep Duration
